ticker,event_ticker,category,event_time,vol_total,vol_24h,vol_4h,vol_1h,n_trades_1h,max_trade_size_1h,net_yes_volume_1h,vol_30m,n_trades_30m,max_trade_size_30m,net_yes_volume_30m,price_change_30m,z_vol_30m,z_vol_1h,z_max_trade_size_1h,z_price_change_30m,flag_volume_spike_30m,flag_big_trade_1h,flag_price_jump_30m,suspicion_score
KXALEAGUEGAME-25NOV08WPHAUC-AUC,KXALEAGUEGAME-25NOV08WPHAUC,Sports,2025-11-08 08:05:02.515323+00:00,58008,58008,58008,41538,639,1703,4626,28530,361,1703.0,3638,0.12,13.089589328722463,13.743288203474929,3.799575463978285,0.9753230347059045,True,True,False,15.085377060711606
KXLIGAMXGAME-25NOV07MAZNCX-MAZ,KXLIGAMXGAME-25NOV07MAZNCX,Sports,2025-11-08 05:20:05.378376+00:00,27376,27376,27227,24465,383,839,6779,20262,319,839.0,2800,0.2799999999999999,9.236177902831725,7.999686135038199,1.7538778781379745,2.2175749496314316,True,False,True,10.337116841900713
KXKLEAGUEGAME-25NOV08DAGGWA-TIE,KXKLEAGUEGAME-25NOV08DAGGWA,Sports,2025-11-08 07:00:13.160823+00:00,13617,13617,13617,13416,77,2500,3286,13097,65,2500.0,2967,-0.18,5.896834305044217,4.282644065445426,5.686636778694405,-1.353899305779459,True,True,True,8.88415269439142
KXBIDENMENTION-25NOV08-PELO,KXBIDENMENTION-25NOV08,Mentions,2025-11-08 15:00:00+00:00,18743,18743,9351,9351,5,6832,9351,0,0,0.0,0,0.0,-0.20719683246073933,2.915119763436681,15.943537174365963,0.04363409851175914,False,True,False,7.971768587182981
KXJLEAGUEGAME-25NOV08REYNGE-REY,KXJLEAGUEGAME-25NOV08REYNGE,Sports,2025-11-08 08:55:03.332970+00:00,19675,19675,19675,15643,175,1000,5183,11933,116,1000.0,3203,0.17,5.354336615187321,5.031838806053907,2.1350784699438656,1.363526758120132,True,False,True,6.557875850159253
KXLIGAMXGAME-25NOV07MAZNCX-TIE,KXLIGAMXGAME-25NOV07MAZNCX,Sports,2025-11-08 05:20:05.378376+00:00,12485,12485,12285,10340,80,2000,4286,8969,60,2000.0,3117,0.0299999999999999,3.972924971943472,3.2478335481074434,4.502784009110892,0.2765563325602947,True,True,False,6.248316976498917
KXLIGAMXGAME-25NOV07JUAQUE-QUE,KXLIGAMXGAME-25NOV07JUAQUE,Sports,2025-11-08 03:05:16.269440+00:00,16440,16440,16440,12465,77,1422,1871,9414,63,1422.0,2114,0.59,4.180323143753024,3.9627140257872915,3.1342502074723506,4.624438034799641,True,True,True,6.219448247489199
KXKLEAGUEGAME-25NOV08DAGGWA-DAG,KXKLEAGUEGAME-25NOV08DAGGWA,Sports,2025-11-08 07:00:13.160823+00:00,11245,11245,11245,9394,72,1000,4294,9253,66,1000.0,4153,-0.88,4.105286951255636,2.929585580161497,2.1350784699438656,-6.788751433578642,True,False,True,5.876826186227568
KXJLEAGUEGAME-25NOV08KAWFAG-TIE,KXJLEAGUEGAME-25NOV08KAWFAG,Sports,2025-11-08 08:00:18.722374+00:00,13789,13789,13789,12317,186,1000,6103,8899,83,1000.0,2799,0.25,3.940300540422868,3.9129247031065306,2.1350784699438656,1.9846527155828957,True,False,True,5.207839775394801
KXKLEAGUEGAME-25NOV08JEODAJ-JEO,KXKLEAGUEGAME-25NOV08JEODAJ,Sports,2025-11-08 09:34:55.359499+00:00,13344,13344,13344,9419,106,1000,5841,8214,65,1000.0,4884,-0.38,3.6210471748283886,2.937995938722436,2.1350784699438656,-2.9067141994363683,True,False,True,4.992586409800322
KXJLEAGUEGAME-25NOV08VERAVI-TIE,KXJLEAGUEGAME-25NOV08VERAVI,Sports,2025-11-08 07:00:12.032613+00:00,8075,8075,8075,8075,33,1000,6885,8075,33,1000.0,6885,0.0,3.556264375094618,2.4858550624863347,2.1350784699438656,0.04363409851175914,True,False,False,4.623803610066551
KXKLEAGUEGAME-25NOV08GISGAW-GAW,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08 09:30:03.420985+00:00,14373,14373,14373,10110,189,892,1756,6826,107,892.0,4262,0.54,2.9741513041055603,3.170458249346801,1.8793662717138269,4.236234311385414,False,False,True,4.3458344399624735
KXALEAGUEGAME-25NOV08WPHAUC-WPH,KXALEAGUEGAME-25NOV08WPHAUC,Sports,2025-11-08 08:05:02.515323+00:00,22545,22545,22545,9541,109,935,4021,6937,58,935.0,2887,-0.29,3.0258843312310892,2.9790384884998207,1.9811776098980092,-2.2079474972907587,True,False,True,4.2484731361800945
KXJLEAGUEGAME-25NOV08KAWFAG-KAW,KXJLEAGUEGAME-25NOV08KAWFAG,Sports,2025-11-08 08:00:18.722374+00:00,11719,11719,11719,8070,122,902,548,6395,67,902.0,-829,-0.3599999999999999,2.773278018600129,2.4841729907741468,1.9030433271054972,-2.7514327100706764,False,False,True,4.0127996821528775
KXALEAGUEGAME-25NOV08VICMEL-MEL,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08 10:40:31.145270+00:00,28940,28940,28717,15261,140,1105,8337,5354,40,841.0,4182,0.47,2.288106115558008,4.903328527242753,2.3836875515564033,3.6927490986054954,False,False,True,3.8559498913362096
KXLIGAMXGAME-25NOV07TIJATL-TIJ,KXLIGAMXGAME-25NOV07TIJATL,Sports,2025-11-08 05:10:01.272504+00:00,10907,10907,10825,8962,64,1053,7328,5523,28,1053.0,4295,0.36,2.3668708145148942,2.784254584228464,2.2605668635197183,2.8387009070941955,False,False,True,3.7851542462747534
KXSAUDIPLGAME-25NOV08NEOALN-TIE,KXSAUDIPLGAME-25NOV08NEOALN,Sports,2025-11-08 15:50:49.839506+00:00,7825,7825,7819,4540,40,2339,1708,2408,4,2339.0,2408,-0.15,0.9150836118480286,1.296630361969505,5.305436186888514,-1.1209770717309229,False,True,False,3.6878017052922853
KXKLEAGUEGAME-25NOV08JEODAJ-TIE,KXKLEAGUEGAME-25NOV08JEODAJ,Sports,2025-11-08 09:34:55.359499+00:00,6436,6436,6436,5357,47,800,1551,4583,29,800.0,813,0.5700000000000001,1.9287713055239297,1.571480879741004,1.6615373621104605,4.46915654543395,False,False,True,3.21553998657916
KXKLEAGUEGAME-25NOV08DAGGWA-GWA,KXKLEAGUEGAME-25NOV08DAGGWA,Sports,2025-11-08 07:00:13.160823+00:00,5779,5779,5779,5773,74,724,-2015,4833,44,724.0,-1503,0.26,2.045287132383229,1.7114292461950356,1.4815917411337667,2.0622934602657415,False,False,True,2.9940830029501124
KXLIGAMXGAME-25NOV07MAZNCX-NCX,KXLIGAMXGAME-25NOV07MAZNCX,Sports,2025-11-08 05:20:05.378376+00:00,11661,11661,11431,6071,61,630,-303,4484,36,630.0,-836,-0.36,1.8826310380876474,1.8116807202414331,1.2590274204520662,-2.7514327100706772,False,False,True,2.8001447483136803
KXLIGAMXGAME-25NOV07JUAQUE-TIE,KXLIGAMXGAME-25NOV07JUAQUE,Sports,2025-11-08 03:05:16.269440+00:00,4505,4505,4505,3946,25,922,-1514,3602,19,922.0,-1472,0.27,1.4715632009280406,1.096800242561585,1.9503974378888378,2.1399342049485868,False,False,True,2.6627619198724597
KXLIGAMXGAME-25NOV07JUAQUE-JUA,KXLIGAMXGAME-25NOV07JUAQUE,Sports,2025-11-08 03:05:16.269440+00:00,6282,6282,6282,3983,20,614,-2059,3169,16,614.0,-2873,-0.92,1.2697577888077347,1.1092475732317753,1.2211441318253937,-7.099314412310024,False,False,True,2.6163298547204317
KXJLEAGUEGAME-25NOV08KASYOK-TIE,KXJLEAGUEGAME-25NOV08KASYOK,Sports,2025-11-08 07:10:03.232363+00:00,5168,5168,5168,4655,55,1000,-2821,3213,18,1000.0,-3173,-0.21,1.2902645743349712,1.3353180113498262,2.1350784699438656,-1.5868215398279955,False,False,True,2.525803809306904
KXJLEAGUEGAME-25NOV08VERAVI-AVI,KXJLEAGUEGAME-25NOV08VERAVI,Sports,2025-11-08 07:00:12.032613+00:00,4713,4713,4713,4713,19,536,-1737,4713,19,536.0,-1737,0.0,1.9893595354907652,1.3548300432112055,1.0364630997703657,0.04363409851175914,False,False,False,2.5075910853759478
KXJLEAGUEGAME-25NOV08KASYOK-KAS,KXJLEAGUEGAME-25NOV08KASYOK,Sports,2025-11-08 07:10:03.232363+00:00,7611,7611,7611,6591,53,1011,6029,2819,35,500.0,2257,0.25,1.106635631204716,1.9866161783089724,2.1611232308747033,1.9846527155828957,False,False,True,2.387197246642068
KXJLEAGUEGAME-25NOV08KASYOK-YOK,KXJLEAGUEGAME-25NOV08KASYOK,Sports,2025-11-08 07:10:03.232363+00:00,6203,6203,6203,5606,41,914,-1872,2868,18,914.0,-710,-0.1999999999999999,1.1294727332691386,1.6552480510079604,1.9314557935755015,-1.5091807951451492,False,False,True,2.2552006300568896
KXJLEAGUEGAME-25NOV08KAWFAG-FAG,KXJLEAGUEGAME-25NOV08KAWFAG,Sports,2025-11-08 08:00:18.722374+00:00,7707,7707,7707,5163,48,644,-2949,3564,18,644.0,-2342,-0.1299999999999999,1.453852795245427,1.5062164973081145,1.2921752980004044,-0.965695582365231,False,False,False,2.2039404442456294
KXJLEAGUEGAME-25NOV08SHOALB-SHO,KXJLEAGUEGAME-25NOV08SHOALB,Sports,2025-11-08 08:00:18.622035+00:00,14520,14520,14520,6144,43,1000,2270,1363,6,1000.0,-1363,0.59,0.4280474555761588,1.836238967239376,2.1350784699438656,4.624438034799641,False,False,True,1.9675866905480917
KXALEAGUEGAME-25NOV08WPHAUC-TIE,KXALEAGUEGAME-25NOV08WPHAUC,Sports,2025-11-08 08:05:02.515323+00:00,13818,13818,13818,6469,126,522,-23,3337,60,522.0,-1481,-0.1399999999999999,1.3480564244571835,1.945573628531588,1.0033152222220274,-1.0433363270480767,False,False,False,1.9617140355681972
KXJLEAGUEGAME-25NOV08REYNGE-NGE,KXJLEAGUEGAME-25NOV08REYNGE,Sports,2025-11-08 08:55:03.332970+00:00,7719,7719,7719,5194,44,804,-1822,2277,13,804.0,-1715,-0.22,0.854029318573756,1.5166453419236792,1.6710081842671287,-1.664462284510841,False,False,True,1.8655334107073203
